Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Parsnips,1 cup,155,95,2,1,0,3,22,Lunch
Peas,1 cup,100,66,3,0,0,0.1,13,Lunch
"Fresh, steamed peas",1 cup,100,70,5,0,0,2.2,12,Dinner
Frozen peas,1 cup,100,0,5,0,0,1.8,12,Dinner
Split cooked peas,4 cups,100,115,8,0,0,0.4,21,Dinner
heated peas,1 cup,100,53,3,0,0,1,10,Dinner
Peppers canned,1 pod,38,10,0,0,0,0,2,Dinner
"Peppers Raw, green, sweet",1 large,100,25,1,0,0,1.4,6,Dinner
Peppers with beef and crumbs,1 med.,150,255,19,9,8,1,24,Dinner
"Potatoes, baked",1 med.,100,100,2,0,0,0.5,22,Dinner
French-fried,10 pieces,60,155,-1,7,3,0.4,20,Dinner
Potatoes Mashed with milk and butter,1 cup,200,230,4,12,11,0.7,28,Dinner
"Potatoes, pan-tried",3/4 cup,100,268,4,14,6,0.40,33,Dinner
Scalloped with cheese potatoes,3/4 cup,100,145,6,8,7,0.40,14,Dinner
Steamed potatoes before peeling,1 med.,100,80,2,0,0,0.40,19,Dinner
Potato chips,10,20,110,1,7,4,0,10,Dinner
Radishes,5 small,50,10,0,0,0,0.3,2,Dinner
Rutabagas,4 cups,100,32,0,0,0,1.4,8,Dinner
Soybeans,1 cup,200,260,22,11,0,3.2,20,Dinner
Spinach,1 cup,100,26,3,0,0,1,3,Dinner
Squash,1 cup,210,35,1,0,0,0.6,8,Dinner
"Winter, mashed",1 cup,200,95,4,0,0,2.6,23,Dinner
Sweet potatoes,1 med.,110,155,2,1,0,1,36,Dinner
Candied,1 med.,175,235,2,6,5,1.5,80,Dinner
Tomatoes,1 cup,240,50,2,0,0,1,9,Dinner
"Raw, 2 by 2 1/2",1 med.,150,30,1,0,0,0.6,6,Dinner
Tomato juice,1 cup,240,50,2,0,0,0.6,10,Dinner
Tomato catsup,1 T.,17,15,0,0,0,0,4,Dinner
Turnip greens,1 cup,145,45,4,1,0,1.8,8,Dinner
"Turnips, steamed",1 cup,155,40,1,0,0,1.8,9,Dinner
"Watercress stems, raw",1 cup,50,9,1,0,0,0.3,1,Breakfast
Apple juice canned,1 cup,250,125,0,0,0,0,34,Breakfast
Apple vinegar,1/3 cup,100,14,0,0,0,0,3,Breakfast
"Apples, raw",1 med,130,70,0,0,0,1,18,Breakfast
Stewed or canned,1 cup,240,100,0,0,0,2,26,Breakfast
Apricots,1 cup,250,220,2,0,0,1,57,Breakfast
"Dried, uncooked",1/2 cup,75,220,4,0,0,1,50,Breakfast
Fresh,3 med.,114,55,1,0,0,0.70,14,Breakfast
"Nectar, or juice",1 cup,250,140,1,0,0,2,36,Breakfast
Avocado,1/2 large,108,185,2,18,12,1.80,6,Breakfast
Banana,1 med.,150,85,1,0,0,0.9,23,Breakfast
Blackberries,1 cup,144,85,2,1,0,6.60,19,Breakfast
Blueberries,1 cup,250,245,1,0,0,2,65,Breakfast
Cantaloupe,1/2 med.,380,40,1,0,0,2.20,9,Breakfast
Cherries,1 cup,257,100,2,1,0,2,26,Breakfast
"Fresh, raw",1 cup,114,65,1,0,0,0.8,15,Breakfast
Cranberry sauce sweetened,1 cup,277,530,0,0,0,1.2,142,Breakfast
Dates,1 cup,178,505,4,0,0,3.6,134,Breakfast
Figs,2,42,120,2,0,0,1.9,30,Breakfast
